PrognLL_Brin,PrognLL_ImportJaar,PrognLL_PrognoseJaar,PrognLL_AantalLL,PrognLL_InvoerWie,PrognLL_InvoerWanneer
17AK00,2011,2014,131,eneheuvel,23-09-11
17AK00,2011,2015,129,eneheuvel,23-09-11
17AV00,2010,2010,161,eneheuvel,23-09-11
17AV00,2011,2011,147,eneheuvel,23-09-11
17AV00,2011,2016,145,eneheuvel,23-09-11
17AV00,2011,2017,145,eneheuvel,23-09-11
17AV00,2011,2018,146,eneheuvel,23-09-11
17AV00,2011,2019,146,eneheuvel,23-09-11
17AV00,2011,2020,146,eneheuvel,23-09-11
17AV00,2011,2025,143,eneheuvel,23-09-11
17AV00,2011,2030,140,eneheuvel,23-09-11
17AV00,2011,2035,140,eneheuvel,23-09-11
17AV00,2011,2012,145,eneheuvel,23-09-11
17AV00,2011,2013,145,eneheuvel,23-09-11
17AV00,2011,2014,146,eneheuvel,23-09-11
17AV00,2011,2015,145,eneheuvel,23-09-11
17BP00,2010,2010,231,eneheuvel,23-09-11
17BP00,2011,2011,249,eneheuvel,23-09-11
17BP00,2011,2016,221,eneheuvel,23-09-11
17BP00,2011,2017,219,eneheuvel,23-09-11
17BP00,2011,2018,213,eneheuvel,23-09-11
17BP00,2011,2019,213,eneheuvel,23-09-11
17BP00,2011,2020,213,eneheuvel,23-09-11
17BP00,2011,2025,210,eneheuvel,23-09-11
17BP00,2011,2030,210,eneheuvel,23-09-11
17BP00,2011,2035,210,eneheuvel,23-09-11
17BP00,2011,2012,244,eneheuvel,23-09-11
17BP00,2011,2013,238,eneheuvel,23-09-11
17BP00,2011,2014,231,eneheuvel,23-09-11
17BP00,2011,2015,223,eneheuvel,23-09-11
17DA00,2010,2010,128,eneheuvel,23-09-11
17DA00,2011,2011,106,eneheuvel,23-09-11
17DA00,2011,2016,104,eneheuvel,23-09-11
17DA00,2011,2017,106,eneheuvel,23-09-11
17DA00,2011,2018,109,eneheuvel,23-09-11
17DA00,2011,2019,110,eneheuvel,23-09-11
17DA00,2011,2020,110,eneheuvel,23-09-11
17DA00,2011,2025,110,eneheuvel,23-09-11
17DA00,2011,2030,109,eneheuvel,23-09-11
17DA00,2011,2035,109,eneheuvel,23-09-11
17DA00,2011,2012,101,eneheuvel,23-09-11
17DA00,2011,2013,99,eneheuvel,23-09-11
17DA00,2011,2014,99,eneheuvel,23-09-11
17DA00,2011,2015,101,eneheuvel,23-09-11
17DK00,2010,2010,119,eneheuvel,23-09-11
17DK00,2011,2011,139,eneheuvel,23-09-11
17DK00,2011,2016,132,eneheuvel,23-09-11
17DK00,2011,2017,127,eneheuvel,23-09-11
17DK00,2011,2018,119,eneheuvel,23-09-11
17DK00,2011,2019,120,eneheuvel,23-09-11
17DK00,2011,2020,121,eneheuvel,23-09-11
17DK00,2011,2025,120,eneheuvel,23-09-11
17DK00,2011,2030,118,eneheuvel,23-09-11
17DK00,2011,2035,118,eneheuvel,23-09-11
17DK00,2011,2012,145,eneheuvel,23-09-11
17DK00,2011,2013,146,eneheuvel,23-09-11
17DK00,2011,2014,147,eneheuvel,23-09-11
17DK00,2011,2015,140,eneheuvel,23-09-11
17DV00,2010,2010,296,eneheuvel,23-09-11
17DV00,2011,2011,329,eneheuvel,23-09-11
17DV00,2011,2016,301,eneheuvel,23-09-11
17DV00,2011,2017,299,eneheuvel,23-09-11
